symbol,fundingTime,fundingRate
USDCUSDT,1694448000001,-4.059e-05
OGNUSDT,1694390400000,0.0001
OGNUSDT,1694419200000,-4.764e-05
OGNUSDT,1694448000001,-0.00015314
RNDRUSDT,1694390400000,-0.00011883
RNDRUSDT,1694419200000,-0.00032529
RNDRUSDT,1694448000001,-6.148e-05
SCUSDT,1694390400000,0.0001
SCUSDT,1694419200000,0.0001
SCUSDT,1694448000001,0.0001
STMXUSDT,1694390400000,0.0001
STMXUSDT,1694419200000,0.0001
STMXUSDT,1694448000001,0.0001
KNCUSDT,1694390400000,9.363e-05
KNCUSDT,1694419200000,8.644e-05
KNCUSDT,1694448000001,0.0001
SRMUSDT,1694390400000,0.0001
SRMUSDT,1694419200000,0.0001
SRMUSDT,1694448000001,0.0001
BLURUSDT,1694390400000,5.03e-06
BLURUSDT,1694419200000,-0.000161
BLURUSDT,1694448000001,-3.85e-05
ENJUSDT,1694390400000,-0.00035114
ENJUSDT,1694419200000,-0.0011332
ENJUSDT,1694448000001,-0.00090549
ATOMUSDT,1694390400000,-6.642e-05
ATOMUSDT,1694419200000,5.48e-05
ATOMUSDT,1694448000001,5.403e-05
NMRUSDT,1694390400000,0.0001
NMRUSDT,1694419200000,0.0001
NMRUSDT,1694448000001,1.679e-05
ENSUSDT,1694390400000,-0.00013129
ENSUSDT,1694419200000,2.959e-05
ENSUSDT,1694448000001,3.984e-05
ATAUSDT,1694390400000,0.0001
ATAUSDT,1694419200000,0.0001
ATAUSDT,1694448000001,0.0001
AGIXUSDT,1694390400000,7.242e-05
AGIXUSDT,1694419200000,4.219e-05
AGIXUSDT,1694448000001,6.387e-05
IOSTUSDT,1694390400000,-7.729e-05
IOSTUSDT,1694419200000,5.419e-05
IOSTUSDT,1694448000001,6.398e-05
HBARUSDT,1694390400000,-0.00025693
HBARUSDT,1694419200000,-4e-08
HBARUSDT,1694448000001,4.769e-05
ZECUSDT,1694390400000,1.05e-06
ZECUSDT,1694419200000,7.948e-05
ZECUSDT,1694448000001,0.0001
IDEXUSDT,1694390400000,0.0001
IDEXUSDT,1694419200000,1.986e-05
IDEXUSDT,1694448000001,0.0001
GALAUSDT,1694390400000,-0.0002127
GALAUSDT,1694419200000,-0.00012794
GALAUSDT,1694448000001,4.972e-05
EDUUSDT,1694390400000,-0.00016546
EDUUSDT,1694419200000,-4.277e-05
EDUUSDT,1694448000001,0.0001
GTCUSDT,1694390400000,-4.37e-06
GTCUSDT,1694419200000,-1.873e-05
GTCUSDT,1694448000001,7.203e-05
ALGOUSDT,1694390400000,-0.00037971
ALGOUSDT,1694419200000,-0.0001923
ALGOUSDT,1694448000001,3.64e-06
LRCUSDT,1694390400000,0.0001
LRCUSDT,1694419200000,8.023e-05
LRCUSDT,1694448000001,0.0001
STGUSDT,1694390400000,9.75e-05
STGUSDT,1694419200000,9.426e-05
STGUSDT,1694448000001,-7.068e-05
STXUSDT,1694390400000,4.11e-05
STXUSDT,1694419200000,0.0001
STXUSDT,1694448000001,0.0001
ARPAUSDT,1694390400000,0.0001
ARPAUSDT,1694419200000,5.427e-05
ARPAUSDT,1694448000001,0.0001
CELOUSDT,1694390400000,-3.488e-05
CELOUSDT,1694419200000,0.0001
CELOUSDT,1694448000001,4.342e-05
QNTUSDT,1694390400000,-6.708e-05
QNTUSDT,1694419200000,-9.843e-05
QNTUSDT,1694448000001,3.35e-06
1INCHUSDT,1694390400000,0.0001
1INCHUSDT,1694419200000,6.901e-05
1INCHUSDT,1694448000001,5.082e-05
TUSDT,1694390400000,0.0001
TUSDT,1694419200000,0.0001
TUSDT,1694448000001,0.0001
LINAUSDT,1694390400000,4.72e-05
LINAUSDT,1694419200000,0.0001
LINAUSDT,1694448000001,-4.459e-05
ARUSDT,1694390400000,-5.704e-05
ARUSDT,1694419200000,7.225e-05
ARUSDT,1694448000001,0.0001
FILUSDT,1694390400000,3.32e-06
FILUSDT,1694419200000,7.064e-05
FILUSDT,1694448000001,1.365e-05
DODOXUSDT,1694390400000,-0.00025708
DODOXUSDT,1694419200000,-0.00024685
DODOXUSDT,1694448000001,0.0001
SOLUSDT,1694390400000,-0.00036941
SOLUSDT,1694419200000,-0.00022734
